device_id,study_id,technology_family,conductance_mode,state_count_status,reported_conductance_states,mapping_strategy,precision_basis,parameter_source,crossbar_size,requested_weight_bits,effective_weight_levels,effective_conductance_levels,slices_per_branch,physical_cells_per_weight,adc_bits,accuracy,accuracy_loss,network_weight_count,estimated_memristor_cells,base_crossbar_tiles,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,6,63,63,5.0,10,6,96.22,0.0100000000000051,101632,1016320,28,280,64,17920
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,6,63,63,5.0,10,7,96.22,0.0100000000000051,101632,1016320,28,280,128,35840
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,7,127,127,6.0,12,10,96.22,0.0100000000000051,101632,1219584,28,336,1024,344064
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,8,255,255,7.0,14,9,96.22,0.0100000000000051,101632,1422848,28,392,512,200704
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,7,127,127,6.0,12,7,96.22,0.0100000000000051,101632,1219584,28,336,128,43008
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,128,7,127,127,6.0,12,10,96.22,0.0100000000000051,101632,1219584,8,96,1024,98304
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,128,8,255,255,7.0,14,9,96.22,0.0100000000000051,101632,1422848,8,112,512,57344
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,7,127,127,6.0,12,6,96.22,0.0100000000000051,101632,1219584,400,4800,64,307200
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,8,255,255,7.0,14,9,96.22,0.0100000000000051,101632,1422848,5,70,512,35840
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,8,255,255,7.0,14,6,96.21,0.0200000000000102,101632,1422848,104,1456,64,93184
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,7,127,127,6.0,12,5,96.21,0.0200000000000102,101632,1219584,104,1248,32,39936
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,7,127,127,6.0,12,5,96.21,0.0200000000000102,101632,1219584,400,4800,32,153600
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,7,127,127,6.0,12,7,96.21,0.0200000000000102,101632,1219584,104,1248,128,159744
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,7,127,127,6.0,12,9,96.21,0.0200000000000102,101632,1219584,104,1248,512,638976
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,7,127,127,6.0,12,10,96.21,0.0200000000000102,101632,1219584,400,4800,1024,4915200
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,7,127,127,6.0,12,5,96.21,0.0200000000000102,101632,1219584,28,336,32,10752
