device_on_off_ratio,device_log10_on_off_ratio,state_count_available,physical_state_count,device_conductance_mode,mapping_strategy,precision_basis,crossbar_size,requested_weight_bits,effective_weight_levels,slices_per_branch,physical_cells_per_weight,adc_bits,estimated_memristor_cells,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy,predicted_accuracy,tree_disagreement,candidate_on_off_ratio,candidate_mode,candidate_state_count,historical_mean_abs_error_pp,historical_median_abs_error_pp,historical_max_abs_error_pp,historical_validation_rows,validation_adjusted_score,nearest_known_device,nearest_known_family,descriptor_distance_to_nearest_known,numeric_descriptor_distance,categorical_mismatch_fraction,accuracy_margin_pp,passes_accuracy,passes_cost,passes_distance,feasible
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,7,127,0,2,8,203264,800,256,204800,95.90211164285714,0.1247506356547412,1.10723,ANALOG,0,0.2082744928715715,0.0183501865079378,3.5959328152958108,50,95.69383714998557,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.1938371499855691,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,7,127,0,2,9,203264,800,512,409600,96.13256181601731,0.04789825180448808,1.10723,ANALOG,0,0.057870747806638534,0.02443523412696885,0.669686317460318,50,96.07469106821068,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.5746910682106829,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,7,127,0,2,10,203264,800,1024,819200,96.21413967460319,0.042018704877447216,1.10723,ANALOG,0,0.02400909344877443,0.015000000000000499,0.1025589603174523,50,96.19013058115442,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.6901305811544205,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,8,255,0,2,4,203264,800,16,12800,8.92,1.0549606810817365e-15,1.10723,ANALOG,0,13.958002076608947,10.419667932539689,70.80504147619047,50,-5.038002076608947,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-100.53800207660895,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,8,255,0,2,5,203264,800,32,25600,57.30620547619047,2.4615701780087567,1.10723,ANALOG,0,6.973020244191365,0.7867484801587352,66.71240512698412,50,50.3331852319991,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-45.1668147680009,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,8,255,0,2,6,203264,800,64,51200,92.15874495238094,0.8944047345067252,1.10723,ANALOG,0,2.017943220014431,0.1567341547619065,35.172635238095246,50,90.14080173236651,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-5.359198267633488,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,8,255,0,2,7,203264,800,128,102400,94.66645534126984,0.38433900112415714,1.10723,ANALOG,0,0.854502475445665,0.0619911984126915,20.422252040404047,50,93.81195286582417,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-1.6880471341758323,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,8,255,0,2,8,203264,800,256,204800,95.90121247619047,0.12292881197201048,1.10723,ANALOG,0,0.21772958133089013,0.038032623015858705,3.505100402597406,50,95.68348289485958,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.18348289485957991,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,8,255,0,2,9,203264,800,512,409600,96.14039612554113,0.03748677672612846,1.10723,ANALOG,0,0.059208815919635595,0.02684562878786775,0.5551619126984235,50,96.0811873096215,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.5811873096214981,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,8,255,0,2,10,203264,800,1024,819200,96.19920984126983,0.03373255314509645,1.10723,ANALOG,0,0.027455777030748103,0.02172268253968915,0.0835657142857257,50,96.17175406423908,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.6717540642390816,True,False,True,False
