held_out_device,held_out_study,held_out_family,method,row_position,crossbar_size,requested_weight_bits,adc_bits,mapping_strategy,cost_proxy,actual_accuracy,predicted_accuracy,is_true_pareto,is_predicted_pareto
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,176,256,5,5,IDEALIZED_SINGLE_PAIR_ANALOG,320.0,83.15,82.37338254482337,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,177,64,3,5,IDEALIZED_SINGLE_PAIR_ANALOG,1792.0,82.56,83.7483824022716,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,178,16,4,4,IDEALIZED_SINGLE_PAIR_ANALOG,12800.0,81.47,84.5232619461926,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,179,16,6,4,IDEALIZED_SINGLE_PAIR_ANALOG,12800.0,81.02,84.61997882319662,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,180,16,7,4,IDEALIZED_SINGLE_PAIR_ANALOG,12800.0,80.08,85.61440088709656,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,181,16,8,4,IDEALIZED_SINGLE_PAIR_ANALOG,12800.0,79.9,84.92117527276976,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,182,16,5,4,IDEALIZED_SINGLE_PAIR_ANALOG,12800.0,78.96,84.67530922106806,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,183,16,3,4,IDEALIZED_SINGLE_PAIR_ANALOG,12800.0,77.36,80.48774599344279,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,184,128,3,5,IDEALIZED_SINGLE_PAIR_ANALOG,512.0,75.06,78.89404693043062,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,185,256,3,5,IDEALIZED_SINGLE_PAIR_ANALOG,320.0,71.03,78.4610497401568,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,186,32,3,4,IDEALIZED_SINGLE_PAIR_ANALOG,3328.0,69.52,77.68577801626319,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,187,32,4,4,IDEALIZED_SINGLE_PAIR_ANALOG,3328.0,69.24,82.83205915964943,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,188,32,6,4,IDEALIZED_SINGLE_PAIR_ANALOG,3328.0,67.1,83.21339179694652,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,189,32,7,4,IDEALIZED_SINGLE_PAIR_ANALOG,3328.0,66.42,82.59981706213576,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,190,32,5,4,IDEALIZED_SINGLE_PAIR_ANALOG,3328.0,66.3,83.588998208042,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,191,32,8,4,IDEALIZED_SINGLE_PAIR_ANALOG,3328.0,66.17,84.4201590156429,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,192,64,7,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,55.93,79.10939653870773,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,193,64,8,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,55.77,79.16463970808286,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,194,64,5,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,55.5,78.82124584656499,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,195,64,4,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,55.32,78.58179349572197,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,196,64,6,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,54.54,78.99981372327896,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,197,64,3,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,51.46,73.35053612828835,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,198,128,8,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,41.08,68.06460064966736,True,True
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,199,128,7,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,40.78,67.81604013175999,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,200,128,6,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,40.38,67.78236497319942,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,201,128,4,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,40.23,67.60989285461764,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,202,128,5,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,40.08,67.22683057012752,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,203,128,3,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,39.48,65.00567941369401,False,False
