device_id,study_id,technology_family,device_on_off_ratio,device_log10_on_off_ratio,state_count_available,physical_state_count,device_conductance_mode,device_state_count_status,parameter_source,mapping_strategy,precision_basis,crossbar_size,requested_weight_bits,effective_weight_levels,slices_per_branch,physical_cells_per_weight,adc_bits,estimated_memristor_cells,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy,accuracy,accuracy_loss,pareto_rank_by_cost,is_pareto_optimal,reference_best_accuracy,reference_cheapest_within_0p5pp
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,6,63,0,2,10,203264,800,1024,819200,96.34,-0.1099999999999994,12,True,True,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,256,3,7,0,2,4,203264,10,16,160,74.41,21.820000000000007,1,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,128,3,7,0,2,4,203264,16,16,256,78.27,17.960000000000008,2,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,256,6,13,0,2,5,203264,10,32,320,93.75,2.480000000000004,3,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,128,4,13,0,2,5,203264,16,32,512,93.81,2.4200000000000017,4,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,256,6,13,0,2,6,203264,10,64,640,95.8,0.4300000000000068,5,True,False,True
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,256,5,13,0,2,7,203264,10,128,1280,96.01,0.2199999999999988,6,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,256,4,13,0,2,8,203264,10,256,2560,96.03,0.2000000000000028,7,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,128,7,13,0,2,8,203264,16,256,4096,96.04,0.1899999999999977,8,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,256,4,13,0,2,9,203264,10,512,5120,96.08,0.1500000000000056,9,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,256,4,13,0,2,10,203264,10,1024,10240,96.1,0.1300000000000096,10,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,128,6,13,0,2,10,203264,16,1024,16384,96.11,0.1200000000000045,11,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,32,7,13,0,2,7,203264,208,128,26624,96.13,0.1000000000000085,12,True,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,3.463757157444634,1,7,DISCRETE_MULTILEVEL,DERIVED,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,64,8,13,0,2,9,203264,56,512,28672,96.17,0.0600000000000022,13,True,True,False
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,0.2319734262803857,0,0,GRADUAL_MULTILEVEL,NOT_REPORTED,absolute,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,256,8,255,0,2,4,203264,10,16,160,42.56,53.67,1,True,False,False
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,0.2319734262803857,0,0,GRADUAL_MULTILEVEL,NOT_REPORTED,absolute,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,128,8,255,0,2,4,203264,16,16,256,54.83,41.400000000000006,2,True,False,False
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,0.2319734262803857,0,0,GRADUAL_MULTILEVEL,NOT_REPORTED,absolute,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,256,6,63,0,2,5,203264,10,32,320,69.78,26.450000000000003,3,True,False,False
