device_on_off_ratio,device_log10_on_off_ratio,state_count_available,physical_state_count,device_conductance_mode,mapping_strategy,precision_basis,crossbar_size,requested_weight_bits,effective_weight_levels,slices_per_branch,physical_cells_per_weight,adc_bits,estimated_memristor_cells,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy,predicted_accuracy,tree_disagreement,historical_mean_abs_error_pp,historical_median_abs_error_pp,historical_max_abs_error_pp,historical_validation_rows,validation_adjusted_score,custom_device_name,input_on_off_ratio,input_fixed_state_count,descriptor_distance_to_nearest_known,nearest_known_device
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,7,127,0,2,4,203264,800,16,12800,95.28261757142856,0.07779746103271486,13.927371091370853,10.174159861111118,70.80504147619047,50,81.3552464800577,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,7,127,0,2,5,203264,800,32,25600,96.12830825396826,0.06733078275269208,6.944436995710955,0.855000000000004,66.56627312698411,50,89.1838712582573,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,7,127,0,2,6,203264,800,64,51200,96.18774352380953,0.043158470830137734,2.017503891731603,0.166613761904756,35.59298890476191,50,94.17023963207792,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,7,127,0,2,7,203264,800,128,102400,96.21976220634922,0.01835239020178091,0.8531577695038272,0.0404068968253952,20.48204308802308,50,95.36660443684539,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,7,127,0,2,8,203264,800,256,204800,96.22366861904761,0.0068290171789423875,0.2082744928715715,0.0183501865079378,3.5959328152958108,50,96.01539412617605,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,7,127,0,2,9,203264,800,512,409600,96.22534944444445,0.011732456927450561,0.057870747806638534,0.02443523412696885,0.669686317460318,50,96.16747869663782,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,7,127,0,2,10,203264,800,1024,819200,96.21543015079367,0.00897615410982185,0.02400909344877443,0.015000000000000499,0.1025589603174523,50,96.1914210573449,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,8,255,0,2,4,203264,800,16,12800,95.27919646031745,0.06928117254010976,13.958002076608947,10.419667932539689,70.80504147619047,50,81.3211943837085,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,8,255,0,2,5,203264,800,32,25600,96.14495279148629,0.0680978906250732,6.973020244191365,0.7867484801587352,66.71240512698412,50,89.17193254729493,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,8,255,0,2,6,203264,800,64,51200,96.20504024603176,0.03756548569748462,2.017943220014431,0.1567341547619065,35.172635238095246,50,94.18709702601733,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,8,255,0,2,7,203264,800,128,102400,96.20508836507938,0.031702178194118046,0.854502475445665,0.0619911984126915,20.422252040404047,50,95.3505858896337,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,8,255,0,2,8,203264,800,256,204800,96.22878548412697,0.01497649994419027,0.21772958133089013,0.038032623015858705,3.505100402597406,50,96.01105590279609,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,8,255,0,2,9,203264,800,512,409600,96.24986835714284,0.010291602788235826,0.059208815919635595,0.02684562878786775,0.5551619126984235,50,96.19065954122321,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,8,255,0,2,10,203264,800,1024,819200,96.24587911111111,0.008014880749933681,0.027455777030748103,0.02172268253968915,0.0835657142857257,50,96.21842333408036,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,2,3,0,2,4,203264,208,16,3328,11.835302206349207,0.25700253527730704,0.6046839893795096,0.5289516984126985,1.90851053968254,50,11.230618216969697,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,2,3,0,2,5,203264,208,32,6656,11.169765777777778,0.31578602387202365,0.7640331765512266,0.5995133174603176,2.417790587301587,50,10.405732601226552,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,2,3,0,2,6,203264,208,64,13312,11.496002968253968,0.1464752770407802,0.38292004981240985,0.22476755158730194,1.7231966103896106,50,11.113082918441558,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,2,3,0,2,7,203264,208,128,26624,11.31380238095238,0.09152798866231616,0.29448756033189033,0.139385238455989,1.989570538961038,50,11.01931482062049,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,2,3,0,2,8,203264,208,256,53248,11.26784988888889,0.07506786454381598,0.16973063555555565,0.12934264682539703,0.9083719819624818,50,11.098119253333333,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,2,3,0,2,9,203264,208,512,106496,11.372011134920635,0.08592940231363586,0.14538526580086614,0.12593649603174656,0.3999008650793652,50,11.226625869119768,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,2,3,0,2,10,203264,208,1024,212992,11.280319666666667,0.10879067489178497,0.12430818935064955,0.08721205916306024,0.5597376190476187,50,11.156011477316017,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,3,7,0,2,4,203264,208,16,3328,89.60075303896103,0.8911380713410711,10.800439680649351,4.660730726190479,70.21434982539681,50,78.80031335831168,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,3,7,0,2,5,203264,208,32,6656,91.19005092857144,0.32656468537514755,6.334291991515148,1.3400173928571348,58.12686032539682,50,84.8557589370563,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,3,7,0,2,6,203264,208,64,13312,92.08065057142856,0.08619388352996714,3.124937474487733,0.29916177380951575,44.57554614285715,50,88.95571309694083,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,3,7,0,2,7,203264,208,128,26624,92.16900263919413,0.03749032463758438,1.576258384017094,0.13103819108669512,27.80092998412698,50,90.59274425517704,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,3,7,0,2,8,203264,208,256,53248,92.20893326984128,0.029051418082348873,0.2705834284271284,0.07115348015872765,4.053711952380951,50,91.93834984141415,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,3,7,0,2,9,203264,208,512,106496,92.20520407936509,0.01537917778303121,0.1153807669552668,0.0313419880952423,1.1242091746031662,50,92.08982331240982,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,3,7,0,2,10,203264,208,1024,212992,92.21806327994229,0.010143008937616204,0.03447641861471818,0.0160715815295873,0.2663654285714187,50,92.18358686132757,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,4,15,0,2,4,203264,208,16,3328,93.87499506349207,0.1537682036461306,13.71625320881674,10.430831988095242,70.24485515873015,50,80.15874185467533,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,4,15,0,2,5,203264,208,32,6656,95.70791768253967,0.07280665786904605,6.681273452601844,0.8308962341269748,66.12293591269842,50,89.02664422993783,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,32,4,15,0,2,6,203264,208,64,13312,95.95285426190475,0.05794098388792394,1.9995332015440104,0.13794394047618394,36.912790666666666,50,93.95332106036074,TestGradual,50.0,0,0.020908117274374895,HfOx_01
